[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
NAME                                  VERSION                        TYPE                            
./.github/actions/build-release       UNKNOWN                        github-action                   
./.github/actions/setup-rust          UNKNOWN                        github-action  (+1 duplicate)   
actions/cache                         v4                             github-action  (+2 duplicates)  
actions/checkout                      v5                             github-action  (+6 duplicates)  
actions/download-artifact             v4                             github-action  (+1 duplicate)   
actions/setup-node                    v5                             github-action                   
actions/setup-python                  v6                             github-action                   
actions/upload-artifact               v4                             github-action  (+2 duplicates)  
addr2line                             0.25.1                         rust-crate                      
adler2                                2.0.1                          rust-crate                      
aead                                  0.5.2                          rust-crate                      
aes                                   0.8.4                          rust-crate                      
aes-gcm                               0.10.3                         rust-crate                      
aes-kw                                0.2.1                          rust-crate                      
aho-corasick                          1.1.3                          rust-crate                      
android_system_properties             0.1.5                          rust-crate                      
anstream                              0.6.21                         rust-crate                      
anstyle                               1.0.13                         rust-crate                      
anstyle-parse                         0.2.7                          rust-crate                      
anstyle-query                         1.1.4                          rust-crate                      
anstyle-wincon                        3.0.10                         rust-crate                      
anyhow                                1.0.100                        rust-crate                      
argon2                                0.5.3                          rust-crate                      
async-compression                     0.4.19                         rust-crate                      
atomic-waker                          1.1.2                          rust-crate                      
autocfg                               1.5.0                          rust-crate                      
backtrace                             0.3.76                         rust-crate                      
base16ct                              0.2.0                          rust-crate                      
base64                                0.22.1                         rust-crate                      
base64ct                              1.8.0                          rust-crate                      
biomejs/setup-biome                   v2                             github-action                   
bitfields                             1.0.0                          rust-crate                      
bitfields-impl                        1.0.0                          rust-crate                      
bitflags                              1.3.2                          rust-crate                      
bitflags                              2.9.4                          rust-crate                      
bitvec                                1.0.1                          rust-crate                      
blake2                                0.10.6                         rust-crate                      
block-buffer                          0.10.4                         rust-crate                      
block-padding                         0.3.3                          rust-crate                      
blowfish                              0.9.1                          rust-crate                      
buffer-redux                          1.0.2                          rust-crate                      
bumpalo                               3.19.0                         rust-crate                      
byteorder                             1.5.0                          rust-crate                      
bytes                                 1.10.1                         rust-crate                      
bzip2                                 0.6.0                          rust-crate                      
camellia                              0.1.0                          rust-crate                      
cast5                                 0.11.1                         rust-crate                      
cc                                    1.2.40                         rust-crate                      
cfb-mode                              0.8.2                          rust-crate                      
cfg-if                                1.0.3                          rust-crate                      
cfg_aliases                           0.2.1                          rust-crate                      
chrono                                0.4.42                         rust-crate                      
cipher                                0.4.4                          rust-crate                      
clap                                  4.5.48                         rust-crate                      
clap_builder                          4.5.48                         rust-crate                      
clap_derive                           4.5.47                         rust-crate                      
clap_lex                              0.7.5                          rust-crate                      
cmac                                  0.7.2                          rust-crate                      
colorchoice                           1.0.4                          rust-crate                      
console                               0.15.11                        rust-crate                      
const-oid                             0.9.6                          rust-crate                      
core-foundation                       0.9.4                          rust-crate                      
core-foundation-sys                   0.8.7                          rust-crate                      
